Ref,Val,Package,PosX,PosY,Rot,Side
"Q1201","TPW1R306PL,L1Q","SOP_ADVANCE",13.250000,45.150000,180.000000,top
"Q1202","TPW1R306PL,L1Q","SOP_ADVANCE",22.750000,45.200000,0.000000,top
"Q1301","TPW1R306PL,L1Q","SOP_ADVANCE",1.500000,45.150000,180.000000,top
"Q1302","TPW1R306PL,L1Q","SOP_ADVANCE",-6.000000,45.100000,0.000000,top
"Q1901","PMV90ENER","SOT-23",46.750000,7.437500,-90.000000,top
"Q2101","PMV90ENER","SOT-23",10.470000,-7.410000,-90.000000,top
"Q2102","PMV90ENER","SOT-23",4.520000,-7.335000,-90.000000,top
"R901","10k 1%","R_0603_1608Metric",29.900000,9.200000,-135.000000,top
"R1001","22R 1%","R_0402_1005Metric",3.700000,6.200000,-135.000000,top
"R1002","22R 1%","R_0402_1005Metric",5.200000,4.700000,-135.000000,top
"R1003","22R 1%","R_0402_1005Metric",6.600000,3.200000,-135.000000,top
"R1004","10k 1%","R_0402_1005Metric",15.744401,19.512421,45.000000,top
"R1005","10k 1%","R_0402_1005Metric",12.005025,19.273045,135.000000,top
"R1101","7R5 1%","R_0603_1608Metric",39.990000,34.835000,90.000000,top
"R1102","7R5 1%","R_0603_1608Metric",35.750000,34.825000,90.000000,top
"R1103","0m5 1% 2W","R_2512_6332Metric",30.500000,37.437500,-90.000000,top
"R1104","DNP","R_0805_2012Metric",45.250000,43.237500,90.000000,top
"R1105","DNP","R_0805_2012Metric",29.500000,46.650000,-90.000000,top
"R1201","7R5 1%","R_0603_1608Metric",11.000000,34.900000,90.000000,top
"R1202","7R5 1%","R_0603_1608Metric",17.320000,34.155000,90.000000,top
"R1203","0m5 1% 2W","R_2512_6332Metric",20.800000,37.437500,-90.000000,top
"R1204","DNP","R_0805_2012Metric",8.000000,43.418750,90.000000,top
"R1205","DNP","R_0805_2012Metric",18.750000,46.537500,-90.000000,top
"R1301","7R5 1%","R_0603_1608Metric",-1.000000,34.900000,90.000000,top
"R1302","7R5 1%","R_0603_1608Metric",-3.600000,34.825000,90.000000,top
"R1303","0m5 1% 2W","R_2512_6332Metric",-9.000000,37.337500,-90.000000,top
"R1304","DNP","R_0805_2012Metric",5.500000,43.150000,90.000000,top
"R1305","DNP","R_0805_2012Metric",-10.000000,46.650000,-90.000000,top
"R1402","10k 1%","R_0603_1608Metric",44.750000,37.200000,0.000000,top
"R1403","10k 1%","R_0603_1608Metric",-7.650000,18.375000,90.000000,top
"R1501","100k 1%","R_0603_1608Metric",47.925000,37.210000,0.000000,top
"R1502","4k7 1%","R_0603_1608Metric",47.925000,35.600000,180.000000,top
"R1701","10k 1%","R_0402_1005Metric",39.200000,15.675000,0.000000,top
"R1702","10k 1%","R_0402_1005Metric",39.200000,16.800000,180.000000,top
"R1703","390R 1%","R_0402_1005Metric",49.200000,14.340000,90.000000,top
"R1704","120R","R_0402_1005Metric",49.200000,16.325000,90.000000,top
"R1705","390R 1%","R_0402_1005Metric",49.250000,18.350000,90.000000,top
"R1801","10k 1%","R_0402_1005Metric",-7.650000,0.000000,-90.000000,top
"R1802","10k 1%","R_0402_1005Metric",-0.900000,0.850000,90.000000,top
"R1803","60R4 1% 1/4W","R_0603_1608Metric",-9.350000,6.125000,90.000000,top
"R1804","60R4 1% 1/4W","R_0603_1608Metric",-9.350000,3.000000,90.000000,top
"R1901","10R 1%","R_0402_1005Metric",44.400000,8.275000,90.000000,top
"R1902","10k 1%","R_0402_1005Metric",45.210000,10.075000,0.000000,top
